Name,Name (multilang),Title (#{lang}),Email,UPN,External User ID,CV Partner User ID,CV Partner CV ID,Phone Number,Landline,Birth Year,Department,Country,Nationality (#{lang}),Owner last removed or added a section,Owner last updated CV,Last updated CV,Summary Of Qualifications,Owner last updated Qualifications,Project Experiences,Unique roles,Owner last updated Project Experiences,Highlighted roles,Owner last updated Highlighted roles,Skill categories,Owner last updated Skill categories,Educations,Years of education,Owner last updated Educations,Work experiences,Years since first work experience,Owner last updated Work experiences,Certifications,Owner last updated Certifications,Courses,Owner last updated Courses,Presentations,Owner last updated Presentations,Recommendations,Owner last updated Recommendations,Positions,Owner last updated Positions,Mentoring,Owner last updated Mentoring,Publications,Owner last updated Publications,Honors and awards,Owner last updated Honors and awards,Languages,Owner last updated Languages,Owner last updated Unique roles
Lisa Pierce,int:Lisa Pierce,int:Consultant Data Platform Engineer,lisa.pierce@mail.test,lisapierce,ext_d8d1d1af,d8d1d1af,cv_d8d1d1af,5278523343,001-440-641-2091x17911,1972,Data Engineering,United Kingdom,int:British,2025-06-17,2026-02-21,2025-12-21,Consultant Data Platform Engineer in data engineering delivering data platforms & analytics.,2025-12-03,5,4,2025-01-29,1,2026-03-20,1,2024-11-06,0,12,2026-02-05,2,1,2025-03-24,1,2025-02-12,6,2024-09-10,2,2025-03-22,0,2025-01-31,4,2025-02-25,1,2024-12-18,3,2026-02-21,0,2025-03-07,2,2025-08-07,2024-11-21
Shawn Edwards,int:Shawn Edwards,int:Senior Analytics Engineer,shawn.edwards@example.com,shawnedwards,ext_8892a2ea,8892a2ea,cv_8892a2ea,321-917-5361x706,+1-213-366-5722x4029,1969,Data Engineering,USA,int:Swedish,2025-08-21,2025-08-26,2025-09-15,,2025-09-14,5,3,2024-05-02,1,2024-07-23,1,2025-09-22,3,15,2025-08-16,2,19,2024-08-30,2,2025-02-01,0,2025-04-16,2,2026-03-26,2,2025-05-29,2,2024-06-10,1,2024-07-23,2,2025-03-14,2,2025-10-14,1,2024-12-25,2025-05-25
Marcus Cordova,int:Marcus Cordova,int:Consultant Backend Engineer,marcus.cordova@example.org,marcuscordova,ext_706dd1bb,706dd1bb,cv_706dd1bb,257-499-8028x41390,451.630.5231,1987,Software Engineering,Australia,int:British,2025-10-10,2025-05-03,2025-06-23,,2024-04-21,1,1,2025-05-10,1,2024-05-14,4,2025-10-31,1,17,2025-12-21,3,21,2024-05-08,0,2024-10-23,0,2024-10-25,2,2024-06-21,0,2026-02-22,2,2024-10-04,0,2024-11-15,3,2024-08-03,2,2024-04-30,2,2024-07-10,2025-07-05
Richard Robertson,int:Richard Robertson,int:Associate .NET Engineer,richard.robertson@mail.test,richardrobertson,ext_5abb9f37,5abb9f37,cv_5abb9f37,573-615-8477x686,(534)961-9942,1974,Software Engineering,India,int:Swedish,2025-12-12,2025-12-22,2025-06-21,Associate .NET Engineer in software engineering delivering data platforms & analytics.,2025-04-22,0,4,2025-08-01,3,2025-06-19,2,2024-12-18,1,11,2025-09-24,5,19,2025-03-25,2,2024-05-21,6,2026-02-04,0,2025-03-26,2,2024-10-06,4,2025-08-05,2,2025-08-16,5,2025-07-26,1,2025-07-11,3,2025-09-08,2025-11-17
Vanessa Sandoval,int:Vanessa Sandoval,int:Principal Backend Engineer,vanessa.sandoval@example.org,vanessasandoval,ext_a10bc2b7,a10bc2b7,cv_a10bc2b7,(776)394-5919x66395,220.384.9649x856,2002,Software Engineering,Ireland,int:Swedish,2025-08-07,2025-09-16,2025-04-15,Principal Backend Engineer in software engineering delivering data platforms & analytics.,2024-09-03,6,0,2024-05-12,1,2024-11-08,1,2025-04-30,0,16,2024-12-25,5,9,2025-02-16,2,2024-08-11,6,2024-04-04,3,2025-07-03,1,2024-06-22,0,2025-04-25,1,2025-09-11,5,2025-03-30,1,2025-08-01,3,2025-01-11,2025-07-02
Amy Gutierrez,int:Amy Gutierrez,int:Principal .NET Engineer,amy.gutierrez@example.com,amygutierrez,ext_901a5d2a,901a5d2a,cv_901a5d2a,(756)425-3135,001-851-605-0537x95381,1985,Software Engineering,United Kingdom,int:Swedish,2026-01-03,2025-10-10,2025-11-08,,2025-03-21,2,4,2026-03-12,3,2024-04-19,3,2026-03-26,3,19,2024-08-25,3,24,2025-04-28,4,2024-07-09,6,2025-05-25,3,2024-10-30,0,2026-01-04,3,2025-04-19,0,2025-09-26,2,2025-02-19,0,2024-08-01,1,2025-11-08,2024-10-02
Jacob Cox,int:Jacob Cox,int:Principal DevOps Engineer,jacob.cox@example.com,jacobcox,ext_1fff92c4,1fff92c4,cv_1fff92c4,+1-738-731-8491x966,330.977.0461,1994,Cloud Engineering,Slovenia,int:Norwegian,2025-09-27,2025-06-06,2026-02-02,,2025-07-05,2,2,2025-09-30,3,2025-11-29,4,2025-06-15,2,16,2026-02-09,6,9,2024-05-20,3,2025-07-06,1,2024-06-06,0,2024-09-23,0,2024-08-14,0,2025-09-15,1,2025-07-24,2,2025-10-24,0,2025-02-02,2,2025-12-05,2025-03-05
Katherine Garrett,int:Katherine Garrett,int:Consultant Data Architect,katherine.garrett@example.org,katherinegarrett,ext_9a5a8886,9a5a8886,cv_9a5a8886,(295)296-3904,342.860.8805x017,1983,Architecture,United Kingdom,int:Danish,2026-03-19,2025-07-04,2025-05-08,,2024-05-01,2,2,2025-11-30,2,2024-10-07,2,2025-04-04,0,18,2025-10-14,3,14,2025-11-09,4,2025-12-01,3,2026-01-12,1,2025-03-22,2,2024-09-18,3,2025-01-01,0,2025-12-30,0,2024-09-10,2,2025-06-20,1,2025-05-13,2024-11-12
Kathleen Harris,int:Kathleen Harris,int:Consultant DevOps Engineer,kathleen.harris@example.org,kathleenharris,ext_998607b2,998607b2,cv_998607b2,001-644-955-6185x7906,515.491.0300x2156,1970,Cloud Engineering,Ireland,int:Danish,2026-03-10,2026-02-05,2025-07-23,Consultant DevOps Engineer in cloud engineering delivering data platforms & analytics.,2025-09-17,1,1,2024-06-14,2,2024-06-09,3,2024-05-11,1,11,2026-03-09,3,11,2024-04-25,4,2024-10-09,6,2025-02-07,3,2025-04-19,1,2025-11-03,2,2025-08-19,2,2025-01-03,5,2024-12-16,2,2024-12-26,4,2025-11-19,2025-10-18
Andrea Pennington,int:Andrea Pennington,int:Consultant Analytics Engineer,andrea.pennington@example.com,andreapennington,ext_2463f905,2463f905,cv_2463f905,235-680-0401,945-396-4229,1983,Data Engineering,United Kingdom,int:Polish,2026-01-15,2025-08-22,2025-07-03,,2026-01-29,4,3,2026-03-09,3,2025-05-05,3,2024-06-08,3,18,2024-10-19,1,22,2024-05-29,1,2026-02-16,3,2026-02-25,0,2026-03-09,0,2025-10-30,2,2024-11-24,0,2024-05-05,5,2025-10-03,0,2025-11-23,3,2026-01-26,2025-03-23
Samuel Wolfe,int:Samuel Wolfe,int:Principal MLOps Engineer,samuel.wolfe@example.com,samuelwolfe,ext_13e6b500,13e6b500,cv_13e6b500,(552)996-7188,+1-374-357-3144x15833,1992,Data Engineering,Ireland,int:Swedish,2025-07-07,2025-05-17,2025-04-13,,2026-01-05,2,1,2024-11-13,2,2026-02-27,4,2025-09-12,1,12,2025-11-30,0,4,2025-09-13,3,2025-03-12,0,2024-07-05,2,2025-04-14,0,2025-04-09,4,2024-04-07,2,2025-10-28,0,2024-10-20,0,2025-02-27,4,2025-10-05,2025-10-17
David Dudley,int:David Dudley,int:Senior MLOps Engineer,david.dudley@mail.test,daviddudley,ext_e1aa3dfa,e1aa3dfa,cv_e1aa3dfa,703.603.7637x1539,001-572-881-2356x798,1975,Data Engineering,India,int:Danish,2025-12-04,2026-01-18,2026-01-07,Senior MLOps Engineer in data engineering delivering data platforms & analytics.,2025-10-31,5,0,2024-06-17,1,2025-01-05,5,2025-08-14,3,17,2024-04-17,6,22,2024-07-12,1,2025-09-21,2,2024-10-16,1,2024-07-25,2,2024-07-20,2,2025-10-07,2,2026-04-02,2,2025-06-13,2,2025-03-27,2,2024-12-04,2024-04-24
Chelsea Allen,int:Chelsea Allen,int:Associate Solution Architect,chelsea.allen@example.org,chelseaallen,ext_bb8c3615,bb8c3615,cv_bb8c3615,914.362.4912,001-313-307-2407x8754,1983,Architecture,Ireland,int:British,2026-03-09,2025-06-25,2025-08-11,,2026-02-16,5,1,2024-10-27,2,2025-03-01,2,2024-07-21,1,14,2024-11-10,1,21,2025-12-01,3,2024-11-02,3,2025-10-23,0,2025-09-11,2,2025-03-09,2,2026-02-23,0,2025-12-23,3,2026-03-20,1,2024-11-16,1,2025-11-27,2025-09-24
Eric Pierce,int:Eric Pierce,int:Senior Data Scientist,eric.pierce@example.org,ericpierce,ext_ae422319,ae422319,cv_ae422319,(763)326-8685x074,6669343629,1973,AI/ML,USA,int:Polish,2025-04-06,2025-11-20,2025-07-04,Senior Data Scientist in ai/ml delivering data platforms & analytics.,2025-07-13,1,3,2025-02-15,0,2025-09-10,3,2025-05-06,1,12,2025-01-05,4,15,2025-07-09,4,2025-11-20,5,2025-11-06,1,2025-09-01,2,2025-08-25,0,2024-04-26,1,2025-10-29,5,2025-11-09,2,2025-10-20,4,2024-04-04,2024-11-30
Andrea Davis,int:Andrea Davis,int:Senior Frontend Engineer,andrea.davis@mail.test,andreadavis,ext_e769504b,e769504b,cv_e769504b,361.603.1310x09431,596.466.1347,1995,Software Engineering,Australia,int:British,2026-03-05,2025-09-22,2025-12-31,,2024-07-10,4,0,2025-04-23,0,2025-03-19,5,2024-06-01,2,18,2026-02-12,2,3,2025-03-01,1,2025-07-29,2,2024-06-22,1,2024-11-29,2,2025-07-27,1,2026-01-25,0,2024-06-09,5,2025-12-07,1,2024-10-06,4,2026-02-06,2025-08-30
Victoria Durham,int:Victoria Durham,int:Principal .NET Engineer,victoria.durham@mail.test,victoriadurham,ext_5300d046,5300d046,cv_5300d046,954.694.0128,001-832-751-2257x207,1976,Software Engineering,United Kingdom,int:Danish,2025-05-04,2025-06-20,2025-10-20,Principal .NET Engineer in software engineering delivering data platforms & analytics.,2025-11-02,2,3,2026-03-21,3,2026-01-20,3,2025-08-21,0,20,2025-03-05,6,10,2025-10-07,1,2025-02-17,0,2024-05-27,3,2026-02-04,2,2024-10-30,2,2025-06-14,0,2024-05-24,4,2025-02-19,1,2025-08-12,1,2024-08-27,2024-05-28
Steven Wilson,int:Steven Wilson,int:Principal Oracle Engineer,steven.wilson@mail.test,stevenwilson,ext_2c045cb5,2c045cb5,cv_2c045cb5,2249120957,471.400.9438,1994,Cloud Engineering,Spain,int:Danish,2026-01-04,2025-05-18,2025-05-01,Principal Oracle Engineer in cloud engineering delivering data platforms & analytics.,2026-01-25,6,3,2025-03-22,2,2025-01-20,4,2025-07-03,0,12,2026-01-20,2,9,2026-01-14,2,2024-09-01,6,2024-05-14,3,2025-04-18,0,2025-05-01,2,2025-01-20,1,2025-06-29,2,2026-03-17,2,2024-08-28,1,2024-05-17,2026-01-05
Marilyn Jimenez,int:Marilyn Jimenez,int:Principal Databricks Engineer,marilyn.jimenez@example.org,marilynjimenez,ext_8aab3d81,8aab3d81,cv_8aab3d81,001-211-745-7758x47457,758-997-1480x2632,1982,Data Engineering,United Kingdom,int:Norwegian,2026-03-25,2025-11-25,2026-01-07,Principal Databricks Engineer in data engineering delivering data platforms & analytics.,2025-01-13,0,4,2025-10-23,3,2026-03-19,5,2026-01-21,1,11,2024-07-05,4,15,2024-06-05,2,2024-11-11,3,2025-12-26,3,2025-11-15,1,2024-05-26,1,2026-01-02,0,2025-11-01,3,2025-05-24,0,2026-01-18,2,2025-09-09,2024-05-21
Jennifer Hicks,int:Jennifer Hicks,int:Senior Python Developer,jennifer.hicks@example.com,jenniferhicks,ext_7d9eeba6,7d9eeba6,cv_7d9eeba6,3396653136,+1-587-282-4556x9644,1978,Data Engineering,India,int:Danish,2026-02-25,2026-01-09,2025-08-28,,2024-11-17,4,1,2024-11-24,3,2026-01-12,5,2024-07-26,3,18,2025-09-26,3,14,2025-11-19,4,2025-01-10,4,2024-06-05,3,2025-03-01,1,2024-05-12,0,2026-03-06,2,2024-12-18,4,2025-04-21,1,2024-04-21,2,2024-08-21,2025-08-10
Joshua Davenport,int:Joshua Davenport,int:Senior Databricks Engineer,joshua.davenport@example.org,joshuadavenport,ext_e722d7a0,e722d7a0,cv_e722d7a0,001-685-391-6795,4726728498,1976,Data Engineering,Ireland,int:British,2026-02-03,2025-05-30,2026-02-16,,2024-06-27,4,4,2025-03-08,3,2025-05-22,5,2025-09-23,3,14,2026-03-03,2,24,2024-10-26,1,2024-05-15,6,2024-08-19,1,2024-06-20,2,2025-04-26,4,2025-09-29,2,2025-08-08,5,2025-11-27,1,2025-11-06,2,2026-02-16,2025-05-02
Tina Sanchez,int:Tina Sanchez,int:Consultant Databricks Engineer,tina.sanchez@example.com,tinasanchez,ext_86777f56,86777f56,cv_86777f56,641.240.7034x9107,(550)804-2548x82142,1991,Data Engineering,Ireland,int:Danish,2025-08-01,2026-03-31,2025-04-04,Consultant Databricks Engineer in data engineering delivering data platforms & analytics.,2026-02-11,1,0,2026-04-02,0,2025-01-28,3,2024-09-06,0,11,2024-12-14,6,1,2025-02-22,2,2025-05-25,3,2025-05-22,3,2024-09-23,1,2024-05-22,2,2025-01-13,2,2024-11-11,5,2025-02-17,1,2025-06-03,3,2024-08-25,2025-11-11
Andrea Reyes,int:Andrea Reyes,int:Principal Databricks Engineer,andrea.reyes@mail.test,andreareyes,ext_94d67228,94d67228,cv_94d67228,001-814-830-7536,444-594-2965,1984,Data Engineering,Slovenia,int:Polish,2025-09-07,2025-11-29,2025-10-05,Principal Databricks Engineer in data engineering delivering data platforms & analytics.,2025-05-16,3,4,2024-04-18,3,2024-12-08,3,2025-09-12,0,10,2026-02-24,3,11,2024-08-09,1,2025-03-04,3,2025-06-29,2,2024-09-02,1,2025-01-22,0,2024-07-11,1,2025-09-25,2,2024-12-14,0,2025-01-07,1,2026-01-13,2025-08-21
Sandra Romero,int:Sandra Romero,int:Associate AWS Engineer,sandra.romero@mail.test,sandraromero,ext_7ce39da2,7ce39da2,cv_7ce39da2,426-883-4414x978,(912)287-5857x56766,1984,Cloud Engineering,India,int:British,2026-01-02,2025-09-27,2025-10-06,,2025-12-12,0,4,2025-10-20,2,2025-10-21,2,2024-12-16,3,14,2025-02-04,1,13,2024-05-13,2,2025-09-04,1,2025-01-22,0,2025-06-01,2,2025-08-06,2,2026-01-13,2,2025-05-17,3,2024-07-14,2,2025-06-11,1,2024-10-13,2024-10-09
Natasha Shields,int:Natasha Shields,int:Principal Backend Engineer,natasha.shields@mail.test,natashashields,ext_ef4686c3,ef4686c3,cv_ef4686c3,+1-706-412-9439,+1-289-340-6260x787,1976,Software Engineering,India,int:Norwegian,2025-10-28,2025-04-05,2025-11-23,Principal Backend Engineer in software engineering delivering data platforms & analytics.,2026-01-19,4,4,2025-05-26,2,2025-11-30,5,2025-02-22,3,12,2024-08-28,2,9,2024-07-25,2,2024-08-08,3,2025-07-27,3,2024-07-20,0,2025-07-29,2,2024-04-11,1,2025-07-13,2,2025-06-25,1,2024-08-19,2,2024-12-28,2024-07-16
Joshua Tyler,int:Joshua Tyler,int:Senior Kubernetes Engineer,joshua.tyler@mail.test,joshuatyler,ext_0c1fe730,0c1fe730,cv_0c1fe730,7412591497,498-503-8287,1984,Cloud Engineering,Ireland,int:Danish,2026-01-28,2025-05-29,2025-08-02,Senior Kubernetes Engineer in cloud engineering delivering data platforms & analytics.,2025-08-23,2,1,2024-08-22,2,2024-10-05,4,2024-06-15,2,16,2024-10-16,0,6,2024-08-15,4,2025-07-01,6,2025-12-22,1,2025-07-22,0,2025-10-24,1,2025-12-18,0,2026-03-26,4,2024-08-27,1,2025-01-02,4,2025-11-22,2024-05-18
Robert Villa,int:Robert Villa,int:Consultant Data Architect,robert.villa@example.org,robertvilla,ext_eb5e12ae,eb5e12ae,cv_eb5e12ae,+1-324-540-7931x10291,617.808.7601,1982,Architecture,Australia,int:Swedish,2025-10-13,2025-08-05,2025-06-08,Consultant Data Architect in architecture delivering data platforms & analytics.,2025-11-19,0,1,2025-11-26,0,2025-07-27,4,2026-03-24,0,14,2026-02-19,3,6,2025-05-29,2,2025-06-23,2,2024-08-31,2,2025-01-15,0,2025-05-27,2,2025-03-09,2,2026-01-28,5,2025-11-03,1,2024-07-17,3,2025-08-18,2026-02-24
William Hoover,int:William Hoover,int:Principal Frontend Engineer,william.hoover@example.com,williamhoover,ext_6d7f35fa,6d7f35fa,cv_6d7f35fa,423.584.9791x6202,(988)737-7441,1975,Software Engineering,Slovenia,int:Danish,2025-12-27,2025-10-16,2025-06-09,Principal Frontend Engineer in software engineering delivering data platforms & analytics.,2025-04-23,4,0,2024-06-29,0,2024-12-07,2,2026-04-01,2,11,2024-09-12,0,7,2025-01-18,1,2026-01-13,6,2024-08-24,0,2024-07-18,0,2025-08-23,3,2026-01-23,1,2025-07-10,3,2024-04-11,1,2025-03-30,4,2024-09-15,2024-05-10
Justin Evans,int:Justin Evans,int:Consultant Full-stack Engineer,justin.evans@example.com,justinevans,ext_85ab4f55,85ab4f55,cv_85ab4f55,+1-846-261-7662x04719,001-940-697-0527,2001,Software Engineering,Spain,int:Norwegian,2025-11-03,2025-12-31,2025-12-27,Consultant Full-stack Engineer in software engineering delivering data platforms & analytics.,2025-02-10,2,1,2025-10-24,2,2025-11-16,3,2026-02-28,3,11,2025-07-23,3,8,2025-09-16,1,2025-05-21,0,2024-12-21,0,2025-06-08,0,2025-09-28,4,2025-07-06,2,2025-02-11,2,2025-09-03,0,2024-06-01,2,2025-12-14,2024-05-17
Brenda Duarte,int:Brenda Duarte,int:Consultant Data Platform Engineer,brenda.duarte@mail.test,brendaduarte,ext_7a3f4dfe,7a3f4dfe,cv_7a3f4dfe,3254883586,+1-925-495-7244x6176,1988,Data Engineering,Spain,int:Swedish,2025-06-16,2025-11-11,2025-09-20,,2024-08-15,0,2,2026-02-11,1,2024-06-03,4,2026-01-02,3,17,2024-06-10,4,23,2024-05-25,3,2024-11-21,6,2025-01-10,0,2025-06-15,0,2026-01-28,4,2024-12-13,2,2025-07-08,2,2025-09-23,2,2026-02-24,2,2025-05-29,2025-10-29
Tracy Hernandez,int:Tracy Hernandez,int:Senior Frontend Engineer,tracy.hernandez@example.com,tracyhernandez,ext_c56c419c,c56c419c,cv_c56c419c,001-888-342-5995,5025311775,1976,Software Engineering,United Kingdom,int:Swedish,2025-10-12,2026-01-01,2025-08-17,,2025-04-24,1,2,2025-10-22,0,2025-09-10,2,2025-11-18,1,15,2024-10-18,4,2,2025-10-29,2,2024-07-04,0,2025-08-07,1,2026-03-25,0,2025-11-15,4,2026-03-18,2,2025-11-17,2,2025-04-30,1,2025-02-17,4,2024-08-24,2025-09-12
Amanda Reed,int:Amanda Reed,int:Senior Data Architect,amanda.reed@example.org,amandareed,ext_9b0e030c,9b0e030c,cv_9b0e030c,226-361-0941,559.502.5176x298,1992,Architecture,USA,int:Danish,2025-04-25,2025-08-27,2025-08-13,,2025-03-26,0,1,2026-03-24,1,2025-01-21,1,2025-11-09,1,11,2024-11-30,0,10,2024-07-18,1,2024-07-18,1,2025-04-13,2,2025-05-16,1,2025-07-22,3,2026-02-04,1,2025-10-08,0,2025-06-23,2,2024-06-15,1,2025-03-20,2025-01-10
Andrea Daniels,int:Andrea Daniels,int:Senior Cloud Architect,andrea.daniels@mail.test,andreadaniels,ext_c271887e,c271887e,cv_c271887e,277-343-3268x319,702.405.6981,1999,Architecture,Spain,int:British,2026-01-26,2026-03-11,2026-01-28,,2024-09-27,1,0,2025-06-04,0,2026-01-24,2,2024-08-16,1,14,2026-03-18,5,19,2025-12-31,4,2024-12-24,4,2025-10-19,2,2025-10-18,1,2024-05-26,1,2025-11-19,0,2025-06-08,0,2026-02-09,0,2025-03-17,3,2026-02-03,2024-12-20
Stanley Morris,int:Stanley Morris,int:Senior C# Developer,stanley.morris@example.org,stanleymorris,ext_55c2bac9,55c2bac9,cv_55c2bac9,+1-987-833-9785x59821,+1-761-291-2841x1730,1997,Software Engineering,Spain,int:Swedish,2025-05-20,2025-05-31,2025-12-31,Senior C# Developer in software engineering delivering data platforms & analytics.,2025-07-07,3,3,2026-02-11,2,2025-03-31,5,2024-06-17,3,17,2024-09-26,5,17,2025-08-14,0,2024-10-01,6,2025-01-07,3,2025-10-28,2,2024-05-10,3,2024-12-09,1,2024-06-28,2,2025-11-03,1,2025-04-21,1,2024-11-02,2025-03-04
Jacob Terry,int:Jacob Terry,int:Senior Data Engineer,jacob.terry@example.org,jacobterry,ext_29f4c0ad,29f4c0ad,cv_29f4c0ad,544.665.1241,(590)781-9740x0564,1983,Data Engineering,Australia,int:Polish,2025-07-18,2026-01-18,2025-11-28,Senior Data Engineer in data engineering delivering data platforms & analytics.,2024-11-22,6,0,2025-07-22,1,2025-09-23,2,2024-12-27,2,19,2024-08-24,4,2,2026-01-15,0,2025-09-25,6,2025-12-22,2,2025-11-21,1,2026-01-07,3,2026-01-05,2,2026-02-14,2,2025-12-02,2,2024-10-07,3,2024-12-21,2024-06-30
Ashley Hall,int:Ashley Hall,int:Senior Oracle Engineer,ashley.hall@example.org,ashleyhall,ext_774eb47a,774eb47a,cv_774eb47a,001-302-838-5037x19905,+1-591-787-2401x078,1990,Cloud Engineering,Australia,int:Polish,2025-05-16,2025-12-09,2025-06-01,,2025-10-31,4,0,2025-04-08,1,2024-08-10,3,2024-07-08,3,18,2024-07-10,6,1,2025-07-20,4,2024-04-22,0,2025-04-05,0,2025-10-03,1,2024-07-30,0,2025-05-13,1,2025-12-12,2,2024-11-14,2,2025-12-20,1,2025-10-09,2025-12-18
Kimberly Williams,int:Kimberly Williams,int:Senior Project Manager,kimberly.williams@mail.test,kimberlywilliams,ext_a6018f84,a6018f84,cv_a6018f84,(274)830-0038x96087,001-762-866-8217x19553,1997,Delivery Management,USA,int:British,2026-01-20,2026-02-05,2025-09-23,Senior Project Manager in delivery management delivering data platforms & analytics.,2025-10-05,1,1,2025-03-14,3,2025-05-10,4,2024-05-02,2,15,2025-07-11,1,6,2024-08-06,1,2024-06-11,4,2025-03-08,3,2025-09-19,0,2025-09-16,1,2026-04-02,0,2024-04-25,2,2024-09-28,1,2025-09-15,2,2025-09-08,2024-05-08
Julie Thornton,int:Julie Thornton,int:Associate Python Developer,julie.thornton@example.com,juliethornton,ext_a297b28b,a297b28b,cv_a297b28b,2332190368,001-530-610-2724x0559,1993,Data Engineering,United Kingdom,int:British,2025-08-09,2026-03-24,2026-01-08,Associate Python Developer in data engineering delivering data platforms & analytics.,2026-03-24,2,2,2025-03-16,2,2024-05-04,4,2025-03-13,0,20,2024-10-31,2,16,2024-05-03,4,2025-04-11,6,2026-01-20,3,2024-07-16,2,2025-05-18,4,2025-09-21,2,2024-05-05,2,2024-12-31,0,2024-11-11,3,2025-07-14,2024-07-14
Lisa Hughes,int:Lisa Hughes,int:Principal Analytics Engineer,lisa.hughes@example.com,lisahughes,ext_2dda865d,2dda865d,cv_2dda865d,(596)971-1148,001-353-274-5843x845,1993,Data Engineering,India,int:British,2025-08-04,2025-10-22,2026-01-06,Principal Analytics Engineer in data engineering delivering data platforms & analytics.,2025-10-22,4,1,2025-04-01,3,2025-10-28,4,2026-03-17,1,12,2025-01-30,1,1,2026-01-11,4,2025-02-19,5,2025-04-11,2,2024-09-25,1,2026-01-08,1,2025-11-09,1,2024-07-23,1,2025-11-17,1,2026-03-06,4,2024-06-03,2024-08-31
Elizabeth Hoover,int:Elizabeth Hoover,int:Consultant Data Engineer,elizabeth.hoover@mail.test,elizabethhoover,ext_f36dda7f,f36dda7f,cv_f36dda7f,(569)374-1328x348,(820)637-7107x044,1995,Data Engineering,United Kingdom,int:Swedish,2025-04-28,2025-04-10,2025-06-10,,2025-02-16,2,4,2025-08-08,1,2025-07-27,2,2024-12-15,2,11,2024-05-19,0,10,2025-10-28,0,2024-06-11,2,2025-02-09,3,2025-10-09,0,2024-07-05,0,2025-06-04,0,2024-05-23,4,2025-10-01,1,2026-02-19,3,2025-01-17,2025-01-12
Tina Simpson,int:Tina Simpson,int:Senior Kubernetes Engineer,tina.simpson@example.org,tinasimpson,ext_3947a2cf,3947a2cf,cv_3947a2cf,904-296-7066,736.226.8040,1998,Cloud Engineering,United Kingdom,int:Norwegian,2026-03-12,2025-11-15,2025-06-14,Senior Kubernetes Engineer in cloud engineering delivering data platforms & analytics.,2024-10-03,3,0,2025-08-17,2,2025-10-25,3,2026-01-28,0,13,2024-06-15,5,10,2026-01-08,4,2025-10-04,2,2025-10-30,0,2025-12-28,0,2025-10-08,1,2026-01-15,2,2025-03-18,0,2025-06-04,0,2024-10-27,1,2024-05-25,2024-04-12
Benjamin Shaw,int:Benjamin Shaw,int:Principal Frontend Engineer,benjamin.shaw@example.org,benjaminshaw,ext_bb4387bb,bb4387bb,cv_bb4387bb,+1-854-693-0596x601,+1-976-599-8426,1986,Software Engineering,Slovenia,int:Swedish,2025-11-20,2025-06-23,2025-07-02,Principal Frontend Engineer in software engineering delivering data platforms & analytics.,2026-02-03,0,2,2025-03-01,1,2025-05-26,4,2025-11-18,3,17,2024-05-14,4,17,2026-04-03,3,2026-02-19,3,2025-03-02,2,2025-10-04,0,2024-08-28,0,2024-11-05,2,2024-11-10,0,2025-01-06,2,2024-06-19,3,2024-10-13,2025-05-22
Brittany Kane,int:Brittany Kane,int:Principal Backend Engineer,brittany.kane@mail.test,brittanykane,ext_839b3c83,839b3c83,cv_839b3c83,(804)241-3845,+1-445-944-9014x954,1998,Software Engineering,Ireland,int:Swedish,2025-06-02,2025-08-24,2026-01-27,Principal Backend Engineer in software engineering delivering data platforms & analytics.,2025-08-24,3,1,2025-06-04,2,2025-10-01,5,2025-12-10,2,17,2024-07-17,6,23,2025-11-10,3,2025-01-12,5,2025-11-06,3,2025-10-02,1,2026-01-17,3,2025-09-18,2,2025-09-28,2,2026-03-17,2,2025-05-26,1,2024-04-27,2024-05-29
Morgan Alexander,int:Morgan Alexander,int:Lead Data Engineer,morgan.alexander@example.org,morganalexander,ext_69df759d,69df759d,cv_69df759d,307.607.0578x360,+1-485-417-2444x723,1989,Data Engineering,Australia,int:Swedish,2026-02-16,2025-08-05,2025-05-24,Lead Data Engineer in data engineering delivering data platforms & analytics.,2025-01-01,0,0,2025-10-28,2,2024-08-09,2,2024-07-18,2,12,2024-08-03,4,10,2024-07-15,1,2025-06-23,6,2024-08-22,0,2024-04-26,1,2024-10-11,3,2025-12-26,2,2024-06-05,4,2025-10-21,2,2024-10-24,1,2024-04-18,2025-02-11
Alicia Bryant,int:Alicia Bryant,int:Principal C# Developer,alicia.bryant@example.org,aliciabryant,ext_d9a0a7d5,d9a0a7d5,cv_d9a0a7d5,+1-503-210-2879x508,001-944-305-8093x511,1976,Software Engineering,Ireland,int:Danish,2025-10-07,2025-12-24,2026-01-11,,2024-09-28,1,0,2025-04-24,0,2024-09-23,1,2025-02-22,1,19,2025-09-22,3,16,2025-12-26,3,2026-03-31,3,2025-05-09,0,2024-06-26,2,2026-02-15,1,2025-05-04,2,2025-10-02,0,2025-07-01,0,2025-07-27,1,2024-10-08,2025-09-17
Jennifer Ortiz,int:Jennifer Ortiz,int:Senior Data Scientist,jennifer.ortiz@mail.test,jenniferortiz,ext_febf79a4,febf79a4,cv_febf79a4,713.735.9561x64205,(557)749-0250x42901,1990,AI/ML,United Kingdom,int:Norwegian,2026-01-10,2025-08-12,2025-08-23,,2025-07-28,1,4,2025-08-14,0,2024-09-11,3,2025-09-04,1,18,2024-11-06,3,2,2024-07-18,4,2025-03-05,1,2024-05-14,0,2025-09-07,0,2025-08-27,3,2024-11-24,1,2025-02-10,4,2026-01-08,2,2024-11-02,4,2025-04-24,2025-10-04
